Date,adj_index_level
2022-03-18,934.3251992874808
2022-03-21,933.8654572348082
2022-03-22,942.3673516587451
2022-03-23,930.0967926462915
2022-03-24,940.1973486780371
2022-03-25,946.9087909366104
2022-03-28,949.7839320813296
2022-03-29,962.3525241774465
2022-03-30,956.632106027327
2022-03-31,943.2062012214411
2022-04-01,951.2840640790661
2022-04-04,951.7884300928047
2022-04-05,943.1450080405897
2022-04-06,941.1446875675119
2022-04-07,940.0048778420945
2022-04-08,943.5735653956523
2022-04-11,938.358225479075
2022-04-12,933.6336261358114
2022-04-13,945.9763535343393
2022-04-14,938.0622603420973
2022-04-18,932.0673495574644
2022-04-19,948.5394918655835
2022-04-20,952.305800262341
2022-04-21,938.9201059886242
2022-04-22,909.2513834362713
2022-04-25,911.1373492698582
2022-04-26,886.5936367154111
